Date,open_price,close_price,high_price,low_price
2013-01-10,33.87,33.53,33.99,33.38
2013-01-09,34.01,33.64,34.19,33.40
2013-01-08,34.50,33.68,34.50,33.11
2013-01-07,34.80,34.34,34.80,33.90
2013-01-04,34.80,34.40,34.80,33.92
2013-01-03,35.18,34.77,35.45,34.75
2013-01-02,35.00,35.36,35.45,34.71
2012-12-31,33.00,33.87,33.97,33.00
2012-12-28,33.38,33.22,33.65,33.02
2012-12-27,33.50,33.69,33.91,33.00
2012-12-26,33.96,33.59,34.50,33.50
2012-12-24,33.64,34.28,34.35,33.55
2012-12-21,33.94,34.00,34.17,33.58
2012-12-20,34.51,34.43,34.79,34.05
2012-12-19,34.75,34.61,35.26,34.52
2012-12-18,34.26,34.59,35.07,34.26
2012-12-17,33.77,34.40,34.50,33.75
2012-12-14,33.86,33.81,34.40,33.59
2012-12-13,35.26,33.61,35.30,32.75
2012-12-12,35.21,35.26,35.80,34.95
2012-12-11,34.60,35.28,35.50,34.46
2012-12-10,34.43,34.57,34.80,34.18
2012-12-07,34.30,34.17,34.49,33.85
2012-12-06,33.82,33.90,34.80,33.50
2012-12-05,33.82,33.71,34.19,33.58
2012-12-04,34.08,33.90,34.80,33.55
2012-12-03,33.89,34.62,35.00,33.50
2012-11-30,33.63,33.82,34.28,33.01
2012-11-29,33.44,33.69,34.00,32.87
2012-11-28,32.00,33.23,34.29,31.91
2012-11-27,32.13,32.15,32.66,31.52
2012-11-26,32.10,32.27,32.30,31.62
2012-11-23,32.60,32.13,32.83,31.70
2012-11-21,32.61,32.47,33.47,32.29
2012-11-20,32.80,33.00,33.10,31.91
2012-11-19,32.07,32.92,33.25,31.84
2012-11-16,31.15,31.84,32.00,30.59
2012-11-15,31.30,30.82,31.44,30.50
2012-11-14,31.96,31.38,32.12,31.20
2012-11-13,31.29,31.61,32.00,30.72
2012-11-12,30.29,31.07,31.42,30.16
2012-11-09,30.60,30.32,30.93,29.85
2012-11-08,31.01,31.31,31.88,30.94
2012-11-07,31.00,31.54,32.05,30.81
2012-11-06,30.61,31.15,31.20,29.95
2012-11-05,29.80,31.50,31.58,29.33
2012-11-02,29.27,28.92,29.55,28.55
2012-11-01,28.25,29.25,29.49,28.20
2012-10-31,27.70,28.13,28.35,27.37
2012-10-26,27.53,27.38,27.80,27.02
2012-10-25,27.80,27.52,27.80,27.45
2012-10-24,28.52,27.42,28.52,27.25
2012-10-23,27.38,28.39,28.56,27.37
2012-10-22,27.99,27.85,28.00,27.36
