id,text,date
1.25E+18,"I'm Gonna Buy Puts With MY $1,200! $amzn $agn $brk $ba $crm $cmg $dis $f $ge $gm $hlf $iep $ibm $ko $pep $ms $gs $jpm $bac $c $cs $msft $nflx $fb $mcd $qsr $googl $jnj $bmy $pfe $tst $snap $tsla $unh $dal $ual $luv $cat $sbux $fdx $ups $bhc $cpe",4/4/20 14:41
1.25E+18,“It’s ugly in advertising - Barrons” $fb $twtr $googl,4/4/20 14:40
1.25E+18,We've got a few #dividend focused videos along with market summaries on our $FB page; come check us out: https://www.facebook.com/tiresiastrading/,4/4/20 14:39
1.25E+18,Pretty Sad That BIG Corporate GREED In UK Exacerbated #Coronavirus $amzn $agn $brk $ba $crm $cmg $dis $f $ge $gm $hlf $iep $ibm $ko $pep $ms $gs $jpm $bac $c $cs $msft $nflx $fb $mcd $qsr $googl $jnj $bmy $pfe $tst $snap $tsla $unh $dal $ual $luv $cat $sbux $fdx $ups $bhc $cpe,4/4/20 14:36
1.25E+18,"It's ugly in advertising - Barron's https://seekingalpha.com/news/3558433?source=ansh $AMCX, $VIAC, $DISCA, $FB, $TWTR, $GOOGL, $NYT, $NWSA, $MDP, $GCI, $IHRT, $CMLS, $CCO, $OUT, $CMSA, $T, $DIS",4/4/20 14:34
1.25E+18,ready to see Q1 engagement metrics $FB at earnings,4/4/20 14:27
1.25E+18,The next iteration of Facebook’s #Oculus VR will be an affordable live 360° camera you put in your living room and with the mask you can be in the same room as your Zoom $ZM / $FB messenger guests.,4/4/20 14:26
1.25E+18,~Pandemic Watchlist~ - Social distancing $GOOG $FB $NFLX $CGC - Remote working $ZM $MSFT $WORK - Household goods and food $AMZN $WMT $COST $RB - Cleaning and protective equipment $CLX $APT $JNJ $MDT - Vaccines/cures/tests (HIGH RISK) $GILD $INO $MRNA $CODX $NVAX,4/4/20 14:23
1.25E+18,~Pandemic Watchlist~ - Social distancing $GOOG $FB $NFLX $CGC - Remote working $ZM $MSFT $WORK - Household goods and food $AMZN $WMT $COST $RB - Cleaning and protective equipment $CLX $APT $JNJ $MDT - Vaccines/cures/tests (HIGH RISK) $GILD $INO $MRNA $CODX $NVAX,4/4/20 14:22
1.25E+18,~Pandemic Watchlist~ - Social distancing $GOOG $FB $NFLX $CGC - Remote working $ZM $MSFT $WORK - Household goods and food $AMZN $WMT $COST $RB - Cleaning and protective equipment $CLX $APT $JNJ $MDT - Vaccines/cures/tests (HIGH RISK) $GILD $INO $MRNA $CODX $NVAX,4/4/20 14:21
1.25E+18,"Everyone is on Facebook and Twitter, but marketers aren't spending the money right now. So $FB &amp; $TWTR can't capitaliz off of it.",4/4/20 14:19
1.25E+18,"4/3 Provided these levels to members premarket so they can prepare & simply react as those levels play out. Join us for Daily Powerful Watchlist, Swing & Day Option Trading Alerts Paypal link in bio $149.99 $fb $aapl $amzn $nflx $googl U R MISSING OUT if you’re not with US.",4/4/20 14:13
1.25E+18,"I like your style sir. I will invest in UK where they have best in class at better valuation. However tech, payments, social media etc not possible. Long $FB, $MSFT, $MA, $SBUX, $NKE, $YUMC and $JNJ. Some others on watch lists.",4/4/20 14:11
1.25E+18,Retail/Autos/Restaurants/T&E are 8%/10%/10%/12% of US digital ad budgets. Pretty much all went to zero this quarter. $FB $GOOGL $PINS $SNAP $TWTR $TTD $ROKU looking at 30-40% Q/Q rev decline… wild.,4/4/20 14:10
1.25E+18,$GOOGL $FB $ADBE $UBER $AAPL: Silicon Valley businesses who made their living from tech industry events are suddenl…: https://www.StockNewsWires.com/googl-fb-adbe-uber-aapl-silicon-valley-businesses-who-made-their-living-from-tech-industry-events-are-suddenly-staring-at-blank-calendars-and-layoffs/,4/4/20 14:10
1.25E+18,$GOOGL $FB $TWTR $PINS $SNAP $TTD $ROKU Google and Facebook Can’t Save the Advertising Industry This Time,4/4/20 14:09
1.25E+18,"$FB Before suing NSO Group, Facebook allegedly sought their software to better spy on users ",4/4/20 14:07
1.25E+18,$FB bullish ,4/4/20 14:05
1.25E+18,How to find high IV rank options in stocks like $TSLA and $FB for example for trading iron condors if you want market to be neutral? https://www.quora.com/Why-to-find-high-IV-rank-options-for-trading-iron-condors-if-you-want-market-to-be-neutral/answer/Market-Chameleon?utm_campaign=meetedgar&amp;utm_medium=social&amp;utm_source=meetedgar.com #options #optionstrading #stocks #marketchameleon #iv,4/4/20 14:01
1.25E+18,Why do people have ZOOM Happy Hours? $zm $fb $twtr #instagram #zoom #Quarantine #QuarantineLife #QuarantineOnlineParty #COVID #coronavirus #SaturdayThoughts $goog $amzn #StayAtHome #beer #SaturdayMorning #tigerking #netflix $nflx #pandemic #bored #party #selfie #DisneyPlus #fb,4/4/20 13:59
1.25E+18,I‘m betting on $FB. It traded down more in 2018 on margin concerns than now in 2020. I think they could be unprofitable for many quarters to come. Usage up -&gt; Opex up Ad revenue down. Pricing is down 50% already from what I hear. What sectors typically advertise on IG?,4/4/20 13:52
1.25E+18,$GOOG $FB $SNAP $PINS $YELP ... $AMZN ? Digital ad spend for the Q2 period will be -33%. Traditional media -39% 74% of buy-side decision-makers anticipate heavier Impact on US ad Spend than '08-09 https://www.iab.com/wp-content/uploads/2020/03/IAB-C19-BuySide_Ad-Spend-Pulse_FINAL.pdf,4/4/20 13:51
1.25E+18,Laying out the facts. $INQD headed back to pennies $CPE $ABT $ILMN $BRKK $ABCE $CHTR $BIEI $BA $IGEX $MFA $KWBT $TPTW $CYDY $LGNDZ $HD $AMD $MU $CTYX $DECN $TOPS $AAPL $VVUS $TMDI $MSFT $GTE $TSLA $FB $AMZN $BABA $PCTL $INTC $CSCO $CCL $QEP $SPOM $LGND $NSPX https://twitter.com/Goldbarstocks/status/1246429923889352704,4/4/20 13:47
1.25E+18,"Facebook says despite high usage, ads taking hit in viral hot regions https://seekingalpha.com/news/3554861?source=ansh $FB",4/4/20 13:41
1.25E+18,"The first informative #App on Pivot Points. Stock: $FB Last close: (2020-04-03) ($154.18) PIVOT POINT ------------- R1: $157.79 R2: $161.39 L1: $150.71 L2: $147.23 ------------- Download now, it's free! https://play.google.com/store/apps/details?id=com.bsmarker.pivot #tradingview #stocks #stockstowatch",4/4/20 13:25
1.25E+18,How Many Want To Save May Though? $amzn $agn $brk $ba $crm $cmg $dis $f $ge $gm $hlf $iep $ibm $ko $pep $ms $gs $jpm $bac $c $cs $msft $nflx $fb $mcd $qsr $googl $jnj $bmy $pfe $tst $snap $tsla $unh $dal $ual $luv $cat $sbux $fdx $ups $bhc $cpe,4/4/20 13:23
1.25E+18,$FB Signal: ** SELL ** Since: 2020-04-01 Our performance: % 0.88 https://www.bsmarker.com/nasdaq_tec/?wdt_search=FB #trading #stocks #stockstowatch #stockstotrade $SPX,4/4/20 13:20
1.25E+18,Can June Be Saved? Maybe Half. $amzn $agn $brk $ba $crm $cmg $dis $f $ge $gm $hlf $iep $ibm $ko $pep $ms $gs $jpm $bac $c $cs $msft $nflx $fb $mcd $qsr $googl $jnj $bmy $pfe $tst $snap $tsla $unh $dal $ual $luv $cat $sbux $fdx $ups $bhc $cpe,4/4/20 13:16
1.25E+18,"Follow gainers winners, with our gainers scanners from PM (4am) to AH(8pm). Get mobile notifications everytime new stock pops up Comes with 4 custom columns. ONE TIME FEE Visit us http://SCRIPTSTOTRADE.COM $XSAP $CEI $ECOR $WLL $SRNE $CAPR $APA $PEIX $SPY $TSLA $FB $AMZN",4/4/20 13:15
1.25E+18,"""estimates account for 40% to 45% of $FB revenue and 50% to 55% of $GOOG revenue. If the economy is locked down as long as two months, he thinks the failure rate of small businesses could be as high as 30%"" https://www.barrons.com/articles/advertising-is-getting-crushed-by-covid-19-why-facebook-google-cant-save-the-industry-51585955751?mod=HP_DAY_RELATED_3",4/4/20 13:14
1.25E+18,Exactly.. I would definitely add ad companies further into red.. $WPP $LAMR getting smoked since outbreak.. my next short view is actually on $GOOG and $FB,4/4/20 13:12
1.25E+18,The U.S. Economy Could Start Recovering In Q3 If Confirmed #Coronavirus Cases Stop Rising Soon $amzn $agn $brk $ba $crm $cmg $dis $f $ge $gm $hlf $iep $ibm $ko $pep $ms $gs $jpm $bac $c $cs $msft $nflx $fb $mcd $qsr $googl $tst $tsla $dal $ual $luv $cat $sbux $fdx $bhc $cpe,4/4/20 13:10
1.25E+18,$FB great mutual fund manager and friend Dan Davidowitz commented one Barron’s today on Facebook. ,4/4/20 13:06
1.25E+18,Maybe Change 6 Wks After Confirmed Cases Drop For About A Wk. Still Going Up Though! $amzn $agn $brk $ba $crm $cmg $f $ge $gm $hlf $iep $ibm $ko $pep $ms $gs $jpm $bac $c $cs $msft $fb $mcd $qsr $googl $jnj $bmy $pfe $tst $snap $tsla $unh $dal $ual $luv $cat $sbux $fdx $bhc $cpe,4/4/20 13:04
1.25E+18,$FB Twitter Sentiment on 3 Apr 2020 was: ▒ Positive 44.4% █ Negative 13.2% ░ Neutral 42.4% ▒▒▒▒▒▒▒▒▒███░░░░░░░░,4/4/20 13:01
1.25E+18,Don't miss our next FREE OPTION TRADE. Sign up for our Daily Free Trades at http://ow.ly/LOph30quHiD $NVDA $TSLA $GS $GILD $BABA $GOOGL $FB,4/4/20 13:01
1.25E+18, Ask yourself this question right now please. By now can you see how time is more valuable than money. So why should you trade your time for money? $SPOT this opportunity and like us on $FB https://bit.ly/3bltwdt,4/4/20 13:00
1.25E+18,3 Options Strategies For Roku Based On Its Historical Reaction To Earnings $ROKU the same research can be used in $AAPL $FB $GOOG and $TSLA for example https://www.benzinga.com/news/earnings/20/02/15305733/3-options-strategies-for-roku-based-on-its-historical-reaction-to-earnings?utm_campaign=meetedgar&amp;utm_medium=social&amp;utm_source=meetedgar.com #options #trading #investments #dividends #earnings,4/4/20 13:00
1.25E+18,In Case You Were Wondering #Coronavirus Recovery Time Could Be Up To 6 Weeks. $amzn $agn $brk $ba $crm $cmg $dis $f $ge $gm $hlf $iep $ibm $ko $pep $ms $gs $jpm $bac $c $cs $msft $nflx $fb $mcd $qsr $googl $jnj $bmy $pfe $tst $snap $tsla $unh $dal $ual $luv $cat $sbux $fdx $bhc https://twitter.com/IliketotweettoU/status/1246419391958450177,4/4/20 12:54
1.25E+18,"Should get $FB in on it. You know, the pioneers of privacy.",4/4/20 12:53
1.25E+18,Confirmed #Coronavirus Cases Continue To Grow &amp; Only 7% Have Recovered Or Died. $amzn $agn $brk $ba $crm $cmg $dis $f $ge $gm $hlf $iep $ibm $ko $pep $ms $gs $jpm $bac $c $cs $msft $nflx $fb $mcd $qsr $googl $jnj $bmy $pfe $tst $tsla $unh $dal $ual $luv $cat $sbux $fdx $bhc $cpe,4/4/20 12:48
1.25E+18,Inte intresserad av $FB?,4/4/20 12:44
1.25E+18,We've Got A Long Way To Go Before #Coronavirus Passes $amzn $agn $brk $ba $crm $cmg $dis $f $ge $gm $hlf $iep $ibm $ko $pep $ms $gs $jpm $bac $c $cs $msft $nflx $fb $mcd $qsr $googl $jnj $bmy $pfe $tst $snap $tsla $unh $dal $ual $luv $cat $sbux $fdx $ups $bhc $cpe,4/4/20 12:41
1.25E+18,Where's The Meatloaf Mr. @POTUS @realDonaldTrump ? $amzn $agn $brk $ba $crm $cmg $dis $f $ge $gm $hlf $iep $ibm $ko $pep $ms $gs $jpm $bac $c $cs $msft $nflx $fb $mcd $qsr $googl $jnj $bmy $pfe $tst $snap $tsla $unh $dal $ual $luv $cat $sbux $fdx $ups $bhc $cpe,4/4/20 12:33
1.25E+18,XLN Swingtrading system: https://profectussystems.autotradenow.com/system84372841 $TSLA $AMZN $FB $GOOGL $AAPL $SPY $VIX,4/4/20 12:17
1.25E+18,"Got $2,500? Here Are 5 High-Growth Stocks to Buy Now https://bit.ly/3aIk17v $IIPR $FB $ISRG $PANW $AMZN",4/4/20 12:14
1.25E+18,251 Profit-Packed Option Trades Yearly--Delivered to Your Inbox Daily--FREE! http://ow.ly/CVRt30quHiB $AMZN $GOOGL $NFLX $FB $AAPL,4/4/20 12:00
1.25E+18,"4 out of the top 5 downloads are Facebook apps (WhatsApp, Facebook, Instagram, FB Messenger). $FB ",4/4/20 11:53
1.25E+18,"El que ha hecho ese ranking debe ser español y del madrid ,ahí me falta gente importante(así a bote pronto se me ocurre el ex ceo de $BABA el de $AAPl $AMZN $FB ...)",4/4/20 11:40
1.25E+18,The consumer spend is based on App Store Data hence the lack of any $FB company being in there? My wife has become a TikTok addict since corona started. Like $SNAP though it’ll just get ripped off by someone like FB,4/4/20 11:35
1.25E+18,"$ZVTK looking for acquisitions in IoT, Business Sector Automation, Artificial Intelligence, Digital Healthcare primed to move off chart base. $TSLA $UBER $TWTR $FB $AAPL $MSFT #pennystocks #zvtk #zevotek #daytrading #stocks #news",4/4/20 11:33
1.25E+18,https://profit.ly/500PIx Verified $113.34 loss in $FB Same,4/4/20 11:22
1.25E+18,https://profit.ly/500PIw Verified $28.38 loss in $FB Decent idea but overall market whipsawing,4/4/20 11:22
1.25E+18,OPINION: Here are 20 tech stocks with low debt to consider buying: 1. $FB 2. $GOOG 3. $MU,4/4/20 11:08
1.25E+18,"My thoughts as well. The more scandals, the more news coverage. WFH generates more and more new users. And for some reason, the bad guys tend to win. Think $FB, $GOOG… The scandals have been many already. Yet, the company still exists. Sadly, I think that’s proof enough.",4/4/20 10:56
1.25E+18,https://www.bloomberg.com/news/articles/2020-04-04/saudi-arabia-says-putin-s-comments-on-opec-deal-is-incorrect @TheBubbleBubble $SPY $SPX $QQQ $DJI $AAPL $NFLX $AMZN $PCLN $BABA $FB $GS $BAC $SNAP $GE $IBM $PM $BTSUSD @patrickbutlerus $usoil $abbv $agn $aig $BSX $GE $DVS $KHC $PEP $KO $T $TSN $VZ,4/4/20 10:49
1.25E+18,"$NFLX me gusta mucho. Parece un lujo que cuando llegue la crisis desaparecerá, pero yo lo veo más como una necesidad. Son 12€ al mes que no creo que dejen de pagar, como el adsl. $FB sufrirá en el corto plazo, pero a la largá, ganará potenciales clientes con esta situación.",4/4/20 10:26
1.25E+18,"Jennifer Newstead Sells 97 Shares of Facebook, Inc. $FB Stock ",4/4/20 9:49
1.25E+18,you can stick a fork in ad spending so I would be real patient before buying $FB or $GOOG,4/4/20 9:10
1.25E+18,Skim the cream of financial news $TWTR $FB $LNKD http://www.cityfalcon.com/watchlists?name=Social%20Media%20Stocks&amp;utm_campaign=T_AT,4/4/20 8:55
